numeric_month,occupied_units,vacant_units,resident_count,reached_occupancy_cap
1,50,30,53,False
2,51,29,54,False
3,52,28,55,False
4,53,27,56,False
5,54,26,57,False
6,55,25,58,False
7,56,24,59,False
8,57,23,60,False
9,58,22,61,False
10,59,21,63,False
11,60,20,64,False
12,61,19,65,False
13,62,18,66,False
14,63,17,67,False
15,64,16,68,False
16,65,15,69,False
17,66,14,70,False
18,67,13,71,False
19,68,12,72,False
20,69,11,73,False
21,70,10,74,False
22,71,9,75,False
23,72,8,76,False
24,73,7,77,False
25,74,6,78,True
26,74,6,78,True
27,74,6,78,True
28,74,6,78,True
29,74,6,78,True
30,74,6,78,True
31,74,6,78,True
32,74,6,78,True
33,74,6,78,True
34,74,6,78,True
35,74,6,78,True
36,74,6,78,True
37,74,6,78,True
38,74,6,78,True
39,74,6,78,True
40,74,6,78,True
41,74,6,78,True
42,74,6,78,True
43,74,6,78,True
44,74,6,78,True
45,74,6,78,True
46,74,6,78,True
47,74,6,78,True
48,74,6,78,True
49,74,6,78,True
50,74,6,78,True
51,74,6,78,True
52,74,6,78,True
53,74,6,78,True
54,74,6,78,True
55,74,6,78,True
56,74,6,78,True
57,74,6,78,True
58,74,6,78,True
59,74,6,78,True
60,74,6,78,True
61,74,6,78,True
62,74,6,78,True
63,74,6,78,True
64,74,6,78,True
65,74,6,78,True
66,74,6,78,True
67,74,6,78,True
68,74,6,78,True
69,74,6,78,True
70,74,6,78,True
71,74,6,78,True
72,74,6,78,True
73,74,6,78,True
74,74,6,78,True
75,74,6,78,True
76,74,6,78,True
77,74,6,78,True
78,74,6,78,True
79,74,6,78,True
80,74,6,78,True
81,74,6,78,True
82,74,6,78,True
83,74,6,78,True
84,74,6,78,True
85,74,6,78,True
86,74,6,78,True
87,74,6,78,True
88,74,6,78,True
89,74,6,78,True
90,74,6,78,True
91,74,6,78,True
92,74,6,78,True
93,74,6,78,True
94,74,6,78,True
95,74,6,78,True
96,74,6,78,True
97,74,6,78,True
98,74,6,78,True
99,74,6,78,True
100,74,6,78,True
101,74,6,78,True
102,74,6,78,True
103,74,6,78,True
104,74,6,78,True
105,74,6,78,True
106,74,6,78,True
107,74,6,78,True
108,74,6,78,True
109,74,6,78,True
110,74,6,78,True
111,74,6,78,True
112,74,6,78,True
113,74,6,78,True
114,74,6,78,True
115,74,6,78,True
116,74,6,78,True
117,74,6,78,True
118,74,6,78,True
119,74,6,78,True
120,74,6,78,True
