numeric_month,occupied_units,vacant_units,resident_count,reached_occupancy_cap
1,70,30,74,False
2,71,29,75,False
3,72,28,76,False
4,73,27,77,False
5,74,26,78,False
6,75,25,79,False
7,76,24,80,False
8,77,23,81,False
9,78,22,82,False
10,79,21,83,False
11,80,20,84,False
12,81,19,85,False
13,82,18,86,False
14,83,17,87,False
15,84,16,88,False
16,85,15,89,False
17,86,14,90,False
18,87,13,91,False
19,88,12,92,False
20,89,11,93,False
21,90,10,94,False
22,91,9,96,False
23,92,8,97,False
24,93,7,98,False
25,94,6,99,True
26,94,6,99,True
27,94,6,99,True
28,94,6,99,True
29,94,6,99,True
30,94,6,99,True
31,94,6,99,True
32,94,6,99,True
33,94,6,99,True
34,94,6,99,True
35,94,6,99,True
36,94,6,99,True
37,94,6,99,True
38,94,6,99,True
39,94,6,99,True
40,94,6,99,True
41,94,6,99,True
42,94,6,99,True
43,94,6,99,True
44,94,6,99,True
45,94,6,99,True
46,94,6,99,True
47,94,6,99,True
48,94,6,99,True
49,94,6,99,True
50,94,6,99,True
51,94,6,99,True
52,94,6,99,True
53,94,6,99,True
54,94,6,99,True
55,94,6,99,True
56,94,6,99,True
57,94,6,99,True
58,94,6,99,True
59,94,6,99,True
60,94,6,99,True
61,94,6,99,True
62,94,6,99,True
63,94,6,99,True
64,94,6,99,True
65,94,6,99,True
66,94,6,99,True
67,94,6,99,True
68,94,6,99,True
69,94,6,99,True
70,94,6,99,True
71,94,6,99,True
72,94,6,99,True
73,94,6,99,True
74,94,6,99,True
75,94,6,99,True
76,94,6,99,True
77,94,6,99,True
78,94,6,99,True
79,94,6,99,True
80,94,6,99,True
81,94,6,99,True
82,94,6,99,True
83,94,6,99,True
84,94,6,99,True
85,94,6,99,True
86,94,6,99,True
87,94,6,99,True
88,94,6,99,True
89,94,6,99,True
90,94,6,99,True
91,94,6,99,True
92,94,6,99,True
93,94,6,99,True
94,94,6,99,True
95,94,6,99,True
96,94,6,99,True
97,94,6,99,True
98,94,6,99,True
99,94,6,99,True
100,94,6,99,True
101,94,6,99,True
102,94,6,99,True
103,94,6,99,True
104,94,6,99,True
105,94,6,99,True
106,94,6,99,True
107,94,6,99,True
108,94,6,99,True
109,94,6,99,True
110,94,6,99,True
111,94,6,99,True
112,94,6,99,True
113,94,6,99,True
114,94,6,99,True
115,94,6,99,True
116,94,6,99,True
117,94,6,99,True
118,94,6,99,True
119,94,6,99,True
120,94,6,99,True
