numeric_month,occupied_units,vacant_units,resident_count,reached_occupancy_cap
1,40,20,43,False
2,41,19,44,False
3,42,18,45,False
4,43,17,46,False
5,44,16,47,False
6,45,15,48,False
7,46,14,49,False
8,47,13,50,False
9,48,12,51,False
10,49,11,52,False
11,50,10,54,False
12,51,9,55,False
13,52,8,56,False
14,53,7,57,False
15,54,6,58,True
16,54,6,58,True
17,54,6,58,True
18,54,6,58,True
19,54,6,58,True
20,54,6,58,True
21,54,6,58,True
22,54,6,58,True
23,54,6,58,True
24,54,6,58,True
25,54,6,58,True
26,54,6,58,True
27,54,6,58,True
28,54,6,58,True
29,54,6,58,True
30,54,6,58,True
31,54,6,58,True
32,54,6,58,True
33,54,6,58,True
34,54,6,58,True
35,54,6,58,True
36,54,6,58,True
37,54,6,58,True
38,54,6,58,True
39,54,6,58,True
40,54,6,58,True
41,54,6,58,True
42,54,6,58,True
43,54,6,58,True
44,54,6,58,True
45,54,6,58,True
46,54,6,58,True
47,54,6,58,True
48,54,6,58,True
49,54,6,58,True
50,54,6,58,True
51,54,6,58,True
52,54,6,58,True
53,54,6,58,True
54,54,6,58,True
55,54,6,58,True
56,54,6,58,True
57,54,6,58,True
58,54,6,58,True
59,54,6,58,True
60,54,6,58,True
61,54,6,58,True
62,54,6,58,True
63,54,6,58,True
64,54,6,58,True
65,54,6,58,True
66,54,6,58,True
67,54,6,58,True
68,54,6,58,True
69,54,6,58,True
70,54,6,58,True
71,54,6,58,True
72,54,6,58,True
73,54,6,58,True
74,54,6,58,True
75,54,6,58,True
76,54,6,58,True
77,54,6,58,True
78,54,6,58,True
79,54,6,58,True
80,54,6,58,True
81,54,6,58,True
82,54,6,58,True
83,54,6,58,True
84,54,6,58,True
85,54,6,58,True
86,54,6,58,True
87,54,6,58,True
88,54,6,58,True
89,54,6,58,True
90,54,6,58,True
91,54,6,58,True
92,54,6,58,True
93,54,6,58,True
94,54,6,58,True
95,54,6,58,True
96,54,6,58,True
97,54,6,58,True
98,54,6,58,True
99,54,6,58,True
100,54,6,58,True
101,54,6,58,True
102,54,6,58,True
103,54,6,58,True
104,54,6,58,True
105,54,6,58,True
106,54,6,58,True
107,54,6,58,True
108,54,6,58,True
109,54,6,58,True
110,54,6,58,True
111,54,6,58,True
112,54,6,58,True
113,54,6,58,True
114,54,6,58,True
115,54,6,58,True
116,54,6,58,True
117,54,6,58,True
118,54,6,58,True
119,54,6,58,True
120,54,6,58,True
