numeric_month,calendar_month,census_type,occupied_units,vacant_units,resident_count,reached_occupancy_cap,occupancy_rate
1,2023-07-01,IL,70,30,74,False,0.7
2,2023-08-01,IL,71,29,75,False,0.71
3,2023-09-01,IL,72,28,76,False,0.72
4,2023-10-01,IL,73,27,77,False,0.73
5,2023-11-01,IL,74,26,78,False,0.74
6,2023-12-01,IL,75,25,79,False,0.75
7,2024-01-01,IL,76,24,80,False,0.76
8,2024-02-01,IL,77,23,81,False,0.77
9,2024-03-01,IL,78,22,82,False,0.78
10,2024-04-01,IL,79,21,83,False,0.79
11,2024-05-01,IL,80,20,84,False,0.8
12,2024-06-01,IL,81,19,85,False,0.81
13,2024-07-01,IL,82,18,86,False,0.82
14,2024-08-01,IL,83,17,87,False,0.83
15,2024-09-01,IL,84,16,88,False,0.84
16,2024-10-01,IL,85,15,89,False,0.85
17,2024-11-01,IL,86,14,90,False,0.86
18,2024-12-01,IL,87,13,91,False,0.87
19,2025-01-01,IL,88,12,92,False,0.88
20,2025-02-01,IL,89,11,93,False,0.89
21,2025-03-01,IL,90,10,94,False,0.9
22,2025-04-01,IL,91,9,96,False,0.91
23,2025-05-01,IL,92,8,97,False,0.92
24,2025-06-01,IL,93,7,98,False,0.93
25,2025-07-01,IL,94,6,99,True,0.94
26,2025-08-01,IL,94,6,99,True,0.94
27,2025-09-01,IL,94,6,99,True,0.94
28,2025-10-01,IL,94,6,99,True,0.94
29,2025-11-01,IL,94,6,99,True,0.94
30,2025-12-01,IL,94,6,99,True,0.94
31,2026-01-01,IL,94,6,99,True,0.94
32,2026-02-01,IL,94,6,99,True,0.94
33,2026-03-01,IL,94,6,99,True,0.94
34,2026-04-01,IL,94,6,99,True,0.94
35,2026-05-01,IL,94,6,99,True,0.94
36,2026-06-01,IL,94,6,99,True,0.94
37,2026-07-01,IL,94,6,99,True,0.94
38,2026-08-01,IL,94,6,99,True,0.94
39,2026-09-01,IL,94,6,99,True,0.94
40,2026-10-01,IL,94,6,99,True,0.94
41,2026-11-01,IL,94,6,99,True,0.94
42,2026-12-01,IL,94,6,99,True,0.94
43,2027-01-01,IL,94,6,99,True,0.94
44,2027-02-01,IL,94,6,99,True,0.94
45,2027-03-01,IL,94,6,99,True,0.94
46,2027-04-01,IL,94,6,99,True,0.94
47,2027-05-01,IL,94,6,99,True,0.94
48,2027-06-01,IL,94,6,99,True,0.94
49,2027-07-01,IL,94,6,99,True,0.94
50,2027-08-01,IL,94,6,99,True,0.94
51,2027-09-01,IL,94,6,99,True,0.94
52,2027-10-01,IL,94,6,99,True,0.94
53,2027-11-01,IL,94,6,99,True,0.94
54,2027-12-01,IL,94,6,99,True,0.94
55,2028-01-01,IL,94,6,99,True,0.94
56,2028-02-01,IL,94,6,99,True,0.94
