numeric_month,calendar_month,rate,census_type
1,2023-07-01,3700.0,IL
2,2023-08-01,3700.0,IL
3,2023-09-01,3700.0,IL
4,2023-10-01,3700.0,IL
5,2023-11-01,3700.0,IL
6,2023-12-01,3700.0,IL
7,2024-01-01,3848.0,IL
8,2024-02-01,3848.0,IL
9,2024-03-01,3848.0,IL
10,2024-04-01,3848.0,IL
11,2024-05-01,3848.0,IL
12,2024-06-01,3848.0,IL
13,2024-07-01,3848.0,IL
14,2024-08-01,3848.0,IL
15,2024-09-01,3848.0,IL
16,2024-10-01,3848.0,IL
17,2024-11-01,3848.0,IL
18,2024-12-01,3848.0,IL
19,2025-01-01,3982.68,IL
20,2025-02-01,3982.68,IL
21,2025-03-01,3982.68,IL
22,2025-04-01,3982.68,IL
23,2025-05-01,3982.68,IL
24,2025-06-01,3982.68,IL
25,2025-07-01,3982.68,IL
26,2025-08-01,3982.68,IL
27,2025-09-01,3982.68,IL
28,2025-10-01,3982.68,IL
29,2025-11-01,3982.68,IL
30,2025-12-01,3982.68,IL
31,2026-01-01,4102.1604,IL
32,2026-02-01,4102.1604,IL
33,2026-03-01,4102.1604,IL
34,2026-04-01,4102.1604,IL
35,2026-05-01,4102.1604,IL
36,2026-06-01,4102.1604,IL
37,2026-07-01,4102.1604,IL
38,2026-08-01,4102.1604,IL
39,2026-09-01,4102.1604,IL
40,2026-10-01,4102.1604,IL
41,2026-11-01,4102.1604,IL
42,2026-12-01,4102.1604,IL
43,2027-01-01,4225.225212,IL
44,2027-02-01,4225.225212,IL
45,2027-03-01,4225.225212,IL
46,2027-04-01,4225.225212,IL
47,2027-05-01,4225.225212,IL
48,2027-06-01,4225.225212,IL
49,2027-07-01,4225.225212,IL
50,2027-08-01,4225.225212,IL
51,2027-09-01,4225.225212,IL
52,2027-10-01,4225.225212,IL
53,2027-11-01,4225.225212,IL
54,2027-12-01,4225.225212,IL
55,2028-01-01,4351.981968360001,IL
56,2028-02-01,4351.981968360001,IL
57,2028-03-01,4351.981968360001,IL
58,2028-04-01,4351.981968360001,IL
59,2028-05-01,4351.981968360001,IL
60,2028-06-01,4351.981968360001,IL
61,2028-07-01,4351.981968360001,IL
62,2028-08-01,4351.981968360001,IL
63,2028-09-01,4351.981968360001,IL
64,2028-10-01,4351.981968360001,IL
65,2028-11-01,4351.981968360001,IL
66,2028-12-01,4351.981968360001,IL
67,2029-01-01,4482.541427410801,IL
68,2029-02-01,4482.541427410801,IL
69,2029-03-01,4482.541427410801,IL
70,2029-04-01,4482.541427410801,IL
71,2029-05-01,4482.541427410801,IL
72,2029-06-01,4482.541427410801,IL
73,2029-07-01,4482.541427410801,IL
74,2029-08-01,4482.541427410801,IL
75,2029-09-01,4482.541427410801,IL
76,2029-10-01,4482.541427410801,IL
77,2029-11-01,4482.541427410801,IL
78,2029-12-01,4482.541427410801,IL
79,2030-01-01,4617.017670233125,IL
80,2030-02-01,4617.017670233125,IL
81,2030-03-01,4617.017670233125,IL
82,2030-04-01,4617.017670233125,IL
83,2030-05-01,4617.017670233125,IL
84,2030-06-01,4617.017670233125,IL
85,2030-07-01,4617.017670233125,IL
86,2030-08-01,4617.017670233125,IL
87,2030-09-01,4617.017670233125,IL
88,2030-10-01,4617.017670233125,IL
89,2030-11-01,4617.017670233125,IL
90,2030-12-01,4617.017670233125,IL
91,2031-01-01,4755.528200340118,IL
92,2031-02-01,4755.528200340118,IL
93,2031-03-01,4755.528200340118,IL
94,2031-04-01,4755.528200340118,IL
95,2031-05-01,4755.528200340118,IL
96,2031-06-01,4755.528200340118,IL
97,2031-07-01,4755.528200340118,IL
98,2031-08-01,4755.528200340118,IL
99,2031-09-01,4755.528200340118,IL
100,2031-10-01,4755.528200340118,IL
101,2031-11-01,4755.528200340118,IL
102,2031-12-01,4755.528200340118,IL
103,2032-01-01,4898.1940463503215,IL
104,2032-02-01,4898.1940463503215,IL
105,2032-03-01,4898.1940463503215,IL
106,2032-04-01,4898.1940463503215,IL
107,2032-05-01,4898.1940463503215,IL
108,2032-06-01,4898.1940463503215,IL
109,2032-07-01,4898.1940463503215,IL
110,2032-08-01,4898.1940463503215,IL
111,2032-09-01,4898.1940463503215,IL
112,2032-10-01,4898.1940463503215,IL
113,2032-11-01,4898.1940463503215,IL
114,2032-12-01,4898.1940463503215,IL
115,2033-01-01,5045.1398677408315,IL
116,2033-02-01,5045.1398677408315,IL
117,2033-03-01,5045.1398677408315,IL
118,2033-04-01,5045.1398677408315,IL
119,2033-05-01,5045.1398677408315,IL
120,2033-06-01,5045.1398677408315,IL
121,2033-07-01,5045.1398677408315,IL
1,2023-07-01,5400.0,AL
2,2023-08-01,5400.0,AL
3,2023-09-01,5400.0,AL
4,2023-10-01,5400.0,AL
5,2023-11-01,5400.0,AL
6,2023-12-01,5400.0,AL
7,2024-01-01,5616.0,AL
8,2024-02-01,5616.0,AL
9,2024-03-01,5616.0,AL
10,2024-04-01,5616.0,AL
11,2024-05-01,5616.0,AL
12,2024-06-01,5616.0,AL
13,2024-07-01,5616.0,AL
14,2024-08-01,5616.0,AL
15,2024-09-01,5616.0,AL
16,2024-10-01,5616.0,AL
17,2024-11-01,5616.0,AL
18,2024-12-01,5616.0,AL
19,2025-01-01,5812.5599999999995,AL
20,2025-02-01,5812.5599999999995,AL
21,2025-03-01,5812.5599999999995,AL
22,2025-04-01,5812.5599999999995,AL
23,2025-05-01,5812.5599999999995,AL
24,2025-06-01,5812.5599999999995,AL
25,2025-07-01,5812.5599999999995,AL
26,2025-08-01,5812.5599999999995,AL
27,2025-09-01,5812.5599999999995,AL
28,2025-10-01,5812.5599999999995,AL
29,2025-11-01,5812.5599999999995,AL
30,2025-12-01,5812.5599999999995,AL
31,2026-01-01,5986.9367999999995,AL
32,2026-02-01,5986.9367999999995,AL
33,2026-03-01,5986.9367999999995,AL
34,2026-04-01,5986.9367999999995,AL
35,2026-05-01,5986.9367999999995,AL
36,2026-06-01,5986.9367999999995,AL
37,2026-07-01,5986.9367999999995,AL
38,2026-08-01,5986.9367999999995,AL
39,2026-09-01,5986.9367999999995,AL
40,2026-10-01,5986.9367999999995,AL
41,2026-11-01,5986.9367999999995,AL
42,2026-12-01,5986.9367999999995,AL
43,2027-01-01,6166.544903999999,AL
44,2027-02-01,6166.544903999999,AL
45,2027-03-01,6166.544903999999,AL
46,2027-04-01,6166.544903999999,AL
47,2027-05-01,6166.544903999999,AL
48,2027-06-01,6166.544903999999,AL
49,2027-07-01,6166.544903999999,AL
50,2027-08-01,6166.544903999999,AL
51,2027-09-01,6166.544903999999,AL
52,2027-10-01,6166.544903999999,AL
53,2027-11-01,6166.544903999999,AL
54,2027-12-01,6166.544903999999,AL
55,2028-01-01,6351.541251119999,AL
56,2028-02-01,6351.541251119999,AL
57,2028-03-01,6351.541251119999,AL
58,2028-04-01,6351.541251119999,AL
59,2028-05-01,6351.541251119999,AL
60,2028-06-01,6351.541251119999,AL
61,2028-07-01,6351.541251119999,AL
62,2028-08-01,6351.541251119999,AL
63,2028-09-01,6351.541251119999,AL
64,2028-10-01,6351.541251119999,AL
65,2028-11-01,6351.541251119999,AL
66,2028-12-01,6351.541251119999,AL
67,2029-01-01,6542.087488653599,AL
68,2029-02-01,6542.087488653599,AL
69,2029-03-01,6542.087488653599,AL
70,2029-04-01,6542.087488653599,AL
71,2029-05-01,6542.087488653599,AL
72,2029-06-01,6542.087488653599,AL
73,2029-07-01,6542.087488653599,AL
74,2029-08-01,6542.087488653599,AL
75,2029-09-01,6542.087488653599,AL
76,2029-10-01,6542.087488653599,AL
77,2029-11-01,6542.087488653599,AL
78,2029-12-01,6542.087488653599,AL
79,2030-01-01,6738.350113313208,AL
80,2030-02-01,6738.350113313208,AL
81,2030-03-01,6738.350113313208,AL
82,2030-04-01,6738.350113313208,AL
83,2030-05-01,6738.350113313208,AL
84,2030-06-01,6738.350113313208,AL
85,2030-07-01,6738.350113313208,AL
86,2030-08-01,6738.350113313208,AL
87,2030-09-01,6738.350113313208,AL
88,2030-10-01,6738.350113313208,AL
89,2030-11-01,6738.350113313208,AL
90,2030-12-01,6738.350113313208,AL
91,2031-01-01,6940.500616712604,AL
92,2031-02-01,6940.500616712604,AL
93,2031-03-01,6940.500616712604,AL
94,2031-04-01,6940.500616712604,AL
95,2031-05-01,6940.500616712604,AL
96,2031-06-01,6940.500616712604,AL
97,2031-07-01,6940.500616712604,AL
98,2031-08-01,6940.500616712604,AL
99,2031-09-01,6940.500616712604,AL
100,2031-10-01,6940.500616712604,AL
101,2031-11-01,6940.500616712604,AL
102,2031-12-01,6940.500616712604,AL
103,2032-01-01,7148.715635213982,AL
104,2032-02-01,7148.715635213982,AL
105,2032-03-01,7148.715635213982,AL
106,2032-04-01,7148.715635213982,AL
107,2032-05-01,7148.715635213982,AL
108,2032-06-01,7148.715635213982,AL
109,2032-07-01,7148.715635213982,AL
110,2032-08-01,7148.715635213982,AL
111,2032-09-01,7148.715635213982,AL
112,2032-10-01,7148.715635213982,AL
113,2032-11-01,7148.715635213982,AL
114,2032-12-01,7148.715635213982,AL
115,2033-01-01,7363.177104270401,AL
116,2033-02-01,7363.177104270401,AL
117,2033-03-01,7363.177104270401,AL
118,2033-04-01,7363.177104270401,AL
119,2033-05-01,7363.177104270401,AL
120,2033-06-01,7363.177104270401,AL
121,2033-07-01,7363.177104270401,AL
1,2023-07-01,6800.0,MC
2,2023-08-01,6800.0,MC
3,2023-09-01,6800.0,MC
4,2023-10-01,6800.0,MC
5,2023-11-01,6800.0,MC
6,2023-12-01,6800.0,MC
7,2024-01-01,7072.0,MC
8,2024-02-01,7072.0,MC
9,2024-03-01,7072.0,MC
10,2024-04-01,7072.0,MC
11,2024-05-01,7072.0,MC
12,2024-06-01,7072.0,MC
13,2024-07-01,7072.0,MC
14,2024-08-01,7072.0,MC
15,2024-09-01,7072.0,MC
16,2024-10-01,7072.0,MC
17,2024-11-01,7072.0,MC
18,2024-12-01,7072.0,MC
19,2025-01-01,7319.5199999999995,MC
20,2025-02-01,7319.5199999999995,MC
21,2025-03-01,7319.5199999999995,MC
22,2025-04-01,7319.5199999999995,MC
23,2025-05-01,7319.5199999999995,MC
24,2025-06-01,7319.5199999999995,MC
25,2025-07-01,7319.5199999999995,MC
26,2025-08-01,7319.5199999999995,MC
27,2025-09-01,7319.5199999999995,MC
28,2025-10-01,7319.5199999999995,MC
29,2025-11-01,7319.5199999999995,MC
30,2025-12-01,7319.5199999999995,MC
31,2026-01-01,7539.1056,MC
32,2026-02-01,7539.1056,MC
33,2026-03-01,7539.1056,MC
34,2026-04-01,7539.1056,MC
35,2026-05-01,7539.1056,MC
36,2026-06-01,7539.1056,MC
37,2026-07-01,7539.1056,MC
38,2026-08-01,7539.1056,MC
39,2026-09-01,7539.1056,MC
40,2026-10-01,7539.1056,MC
41,2026-11-01,7539.1056,MC
42,2026-12-01,7539.1056,MC
43,2027-01-01,7765.278768,MC
44,2027-02-01,7765.278768,MC
45,2027-03-01,7765.278768,MC
46,2027-04-01,7765.278768,MC
47,2027-05-01,7765.278768,MC
48,2027-06-01,7765.278768,MC
49,2027-07-01,7765.278768,MC
50,2027-08-01,7765.278768,MC
51,2027-09-01,7765.278768,MC
52,2027-10-01,7765.278768,MC
53,2027-11-01,7765.278768,MC
54,2027-12-01,7765.278768,MC
55,2028-01-01,7998.23713104,MC
56,2028-02-01,7998.23713104,MC
57,2028-03-01,7998.23713104,MC
58,2028-04-01,7998.23713104,MC
59,2028-05-01,7998.23713104,MC
60,2028-06-01,7998.23713104,MC
61,2028-07-01,7998.23713104,MC
62,2028-08-01,7998.23713104,MC
63,2028-09-01,7998.23713104,MC
64,2028-10-01,7998.23713104,MC
65,2028-11-01,7998.23713104,MC
66,2028-12-01,7998.23713104,MC
67,2029-01-01,8238.1842449712,MC
68,2029-02-01,8238.1842449712,MC
69,2029-03-01,8238.1842449712,MC
70,2029-04-01,8238.1842449712,MC
71,2029-05-01,8238.1842449712,MC
72,2029-06-01,8238.1842449712,MC
73,2029-07-01,8238.1842449712,MC
74,2029-08-01,8238.1842449712,MC
75,2029-09-01,8238.1842449712,MC
76,2029-10-01,8238.1842449712,MC
77,2029-11-01,8238.1842449712,MC
78,2029-12-01,8238.1842449712,MC
79,2030-01-01,8485.329772320336,MC
80,2030-02-01,8485.329772320336,MC
81,2030-03-01,8485.329772320336,MC
82,2030-04-01,8485.329772320336,MC
83,2030-05-01,8485.329772320336,MC
84,2030-06-01,8485.329772320336,MC
85,2030-07-01,8485.329772320336,MC
86,2030-08-01,8485.329772320336,MC
87,2030-09-01,8485.329772320336,MC
88,2030-10-01,8485.329772320336,MC
89,2030-11-01,8485.329772320336,MC
90,2030-12-01,8485.329772320336,MC
91,2031-01-01,8739.889665489945,MC
92,2031-02-01,8739.889665489945,MC
93,2031-03-01,8739.889665489945,MC
94,2031-04-01,8739.889665489945,MC
95,2031-05-01,8739.889665489945,MC
96,2031-06-01,8739.889665489945,MC
97,2031-07-01,8739.889665489945,MC
98,2031-08-01,8739.889665489945,MC
99,2031-09-01,8739.889665489945,MC
100,2031-10-01,8739.889665489945,MC
101,2031-11-01,8739.889665489945,MC
102,2031-12-01,8739.889665489945,MC
103,2032-01-01,9002.086355454643,MC
104,2032-02-01,9002.086355454643,MC
105,2032-03-01,9002.086355454643,MC
106,2032-04-01,9002.086355454643,MC
107,2032-05-01,9002.086355454643,MC
108,2032-06-01,9002.086355454643,MC
109,2032-07-01,9002.086355454643,MC
110,2032-08-01,9002.086355454643,MC
111,2032-09-01,9002.086355454643,MC
112,2032-10-01,9002.086355454643,MC
113,2032-11-01,9002.086355454643,MC
114,2032-12-01,9002.086355454643,MC
115,2033-01-01,9272.148946118283,MC
116,2033-02-01,9272.148946118283,MC
117,2033-03-01,9272.148946118283,MC
118,2033-04-01,9272.148946118283,MC
119,2033-05-01,9272.148946118283,MC
120,2033-06-01,9272.148946118283,MC
