Director of Sales & Marketing,Sales Manager,Commissions,Director of Engagement,Driver,Engagement Associate,Executive Director,Business Office Director,Concierge,Director of Memory Care,MC Care Manager,MC Medication Care Manager,Director of Plant Operations,Plant Operations Assistant,Director of Housekeeping,Housekeeping Associate,Director of Culinary Services,Chef,Dining Room Associate,Dish Washer,MC Attendant,Director of Health & Wellness,LPN,Medication Care Manager,Care Manager
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,21.428571428571427,14.285714285714286,1.0,0.5,0.0,0.0,1.0,0.0,32.6530612244898,2.0,1.4,1.0,42.857142857142854,17.857142857142858,11.904761904761905
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,21.904761904761905,14.642857142857144,1.0,0.5,0.0,0.0,1.0,0.0,33.265306122448976,2.0,1.4,1.0,43.80952380952381,18.214285714285715,12.142857142857142
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,22.38095238095238,15.000000000000002,1.0,0.5,0.0,0.0,1.0,0.0,33.87755102040816,2.0,1.4,1.0,44.76190476190476,18.571428571428573,12.38095238095238
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,22.857142857142858,15.357142857142858,1.0,0.5,0.0,0.0,1.0,0.0,34.48979591836734,2.0,1.4,1.0,45.714285714285715,18.92857142857143,12.619047619047619
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,23.333333333333332,15.714285714285715,1.0,0.5,0.0,0.0,1.0,0.0,35.10204081632653,2.0,1.4,1.0,46.666666666666664,19.28571428571429,12.857142857142856
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,23.80952380952381,16.071428571428573,1.0,0.5,0.0,0.0,1.0,0.0,35.71428571428571,2.0,1.4,1.0,47.61904761904762,19.642857142857142,13.095238095238095
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,24.285714285714285,16.42857142857143,1.0,0.5,0.0,0.0,1.0,0.0,36.326530612244895,2.0,1.4,1.0,48.57142857142857,20.0,13.333333333333332
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,24.76190476190476,16.78571428571429,1.0,0.5,0.0,0.0,1.0,0.0,36.93877551020408,2.0,1.4,1.0,49.52380952380952,20.357142857142858,13.571428571428571
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,25.238095238095237,17.142857142857142,1.0,0.5,0.0,0.0,1.0,0.0,37.55102040816326,2.0,1.4,1.0,50.476190476190474,20.714285714285715,13.809523809523808
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,25.71428571428571,17.5,1.0,0.5,0.0,0.0,1.0,0.0,38.16326530612245,2.0,1.4,1.0,51.42857142857142,21.071428571428573,14.047619047619047
